,Date,Regular,Diesel,date_encoding
0,2022-08-29,3.85,5.06,0.0
1,2022-08-30,3.54,4.35,0.14285714285714285
2,2022-08-31,3.44,4.05,0.2857142857142857
3,2022-09-01,3.59,3.91,0.42857142857142855
4,2022-09-02,3.24,4.38,0.5714285714285714
5,2022-09-03,3.6,5.06,0.7142857142857143
6,2022-09-04,3.57,4.57,0.8571428571428571
7,2022-09-05,3.79,5.07,1.0
8,2022-09-06,3.54,4.62,1.1428571428571428
9,2022-09-07,3.72,4.29,1.2857142857142858
10,2022-09-08,3.49,3.84,1.4285714285714286
11,2022-09-09,3.51,4.51,1.5714285714285714
12,2022-09-10,3.54,3.91,1.7142857142857142
13,2022-09-11,3.07,4.49,1.8571428571428572
14,2022-09-12,3.72,5.01,2.0
15,2022-09-13,3.67,4.35,2.142857142857143
16,2022-09-14,3.4,4.48,2.2857142857142856
17,2022-09-15,3.4,4.04,2.4285714285714284
18,2022-09-16,3.54,3.93,2.5714285714285716
19,2022-09-17,3.14,5.28,2.7142857142857144
20,2022-09-18,3.26,4.4,2.857142857142857
21,2022-09-19,3.68,4.95,3.0
22,2022-09-20,3.68,3.91,3.142857142857143
23,2022-09-21,3.59,3.85,3.2857142857142856
24,2022-09-22,3.54,5.31,3.4285714285714284
25,2022-09-23,3.85,4.01,3.5714285714285716
26,2022-09-24,3.73,5.07,3.7142857142857144
27,2022-09-25,3.54,3.95,3.857142857142857
28,2022-09-26,3.73,4.9,4.0
29,2022-09-27,3.6,4.31,4.142857142857143
30,2022-09-28,3.54,4.6,4.285714285714286
31,2022-09-29,3.8,3.92,4.428571428571429
32,2022-09-30,3.85,4.31,4.571428571428571
33,2022-10-01,3.54,4.55,4.714285714285714
34,2022-10-02,3.55,4.31,4.857142857142857
35,2022-10-03,3.8,4.87,5.0
36,2022-10-04,3.72,3.98,5.142857142857143
37,2022-10-05,3.42,4.19,5.285714285714286
38,2022-10-06,3.54,4.04,5.428571428571429
39,2022-10-07,3.57,4.28,5.571428571428571
40,2022-10-08,3.83,3.73,5.714285714285714
41,2022-10-09,3.14,4.6,5.857142857142857
42,2022-10-10,3.92,5.06,6.0
43,2022-10-11,3.66,5.06,6.142857142857143
44,2022-10-12,3.8,5.22,6.285714285714286
45,2022-10-13,3.45,3.95,6.428571428571429
46,2022-10-14,3.6,3.77,6.571428571428571
47,2022-10-15,3.88,4.46,6.714285714285714
48,2022-10-16,3.62,3.88,6.857142857142857
49,2022-10-17,3.89,5.28,7.0
50,2022-10-18,3.52,5.33,7.142857142857143
51,2022-10-19,3.08,3.9,7.285714285714286
52,2022-10-20,3.07,4.02,7.428571428571429
53,2022-10-21,3.41,3.84,7.571428571428571
54,2022-10-22,3.76,4.23,7.714285714285714
55,2022-10-23,3.51,4.02,7.857142857142857
56,2022-10-24,3.79,5.33,8.0
57,2022-10-25,3.85,4.47,8.142857142857142
58,2022-10-26,3.6,3.86,8.285714285714286
59,2022-10-27,3.47,4.62,8.428571428571429
60,2022-10-28,3.42,3.79,8.571428571428571
61,2022-10-29,3.61,4.2,8.714285714285714
62,2022-10-30,3.51,4.49,8.857142857142858
63,2022-10-31,3.76,5.31,9.0
64,2022-11-01,3.42,3.91,9.142857142857142
65,2022-11-02,3.37,4.01,9.285714285714286
66,2022-11-03,3.45,4.04,9.428571428571429
67,2022-11-04,3.85,4.55,9.571428571428571
68,2022-11-05,3.08,4.92,9.714285714285714
69,2022-11-06,3.44,4.19,9.857142857142858
70,2022-11-07,3.8,5.34,10.0
71,2022-11-08,3.54,4.19,10.142857142857142
72,2022-11-09,3.44,4.0,10.285714285714286
73,2022-11-10,3.52,3.98,10.428571428571429
74,2022-11-11,3.67,4.03,10.571428571428571
75,2022-11-12,3.6,3.79,10.714285714285714
76,2022-11-13,3.54,4.68,10.857142857142858
77,2022-11-14,3.77,5.36,11.0
